date,o2_median,o2_n_points,o2_dist_min_km,o2_dist_median_km,o2_dist_max_km
2024-10-08,219.08860778808594,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-09,219.30571746826172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-10,219.21717071533203,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-11,219.58729553222656,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-12,219.51162719726562,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-13,219.46807098388672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-14,219.2560806274414,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-15,219.20986938476562,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-16,219.0814971923828,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-17,219.1416778564453,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-18,219.72728729248047,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-19,220.00879669189453,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-20,220.33900451660156,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-21,220.83797454833984,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-22,221.163818359375,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-23,221.35889434814453,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-24,221.53807067871094,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-25,221.78302764892578,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-26,222.08116149902344,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-27,222.6029815673828,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-28,222.66867065429688,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-29,222.96160888671875,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-30,222.94072723388672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-10-31,222.9640884399414,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-01,223.27195739746094,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-02,223.5192642211914,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-03,223.66837310791016,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-04,223.82820892333984,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-05,224.47560119628906,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-06,224.90753173828125,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-07,225.27301025390625,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-08,225.77071380615234,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-09,226.3126220703125,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-10,226.39376068115234,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-11,226.67056274414062,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-12,227.13418579101562,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-13,227.37725067138672,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-14,227.43374633789062,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-15,227.6615219116211,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-16,227.84374237060547,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-17,228.0582733154297,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-18,228.51363372802734,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-19,229.16393280029297,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-20,229.96031951904297,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-21,230.3433074951172,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-22,230.6068572998047,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-23,231.48854064941406,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-24,232.95101928710938,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-25,234.4066925048828,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-26,235.75988006591797,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-27,237.0951919555664,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-28,237.63800811767578,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-29,237.79126739501953,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-11-30,237.73139190673828,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-12-01,237.94427490234375,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-12-02,238.15306854248047,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-12-03,238.11492156982422,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-12-04,236.87632751464844,44,28.306411434744845,55.852195301984636,67.95450828154688
2024-12-05,236.2189178466797,44,28.306411434744845,55.852195301984636,67.95450828154688
