date,VHM0_median,VHM0_n_points,VHM0_dist_min_km,VHM0_dist_median_km,VHM0_dist_max_km
2024-12-13,0.46,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-14,0.66,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-15,0.76,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-16,1.335,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-17,0.51,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-18,0.25,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-19,0.615,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-20,1.5750000000000002,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-21,1.51,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-22,0.9,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-23,2.3,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-24,2.74,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-25,1.6600000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-26,0.89,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-27,0.98,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-28,0.62,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-29,0.39,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-30,0.28,128,7.711546198681338,41.21199946489436,55.49704268963926
2024-12-31,0.29,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-01,0.37,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-02,0.45,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-03,0.7050000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-04,1.0,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-05,0.77,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-06,0.8200000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-07,1.83,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-08,0.9450000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-09,1.2650000000000001,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-10,0.89,128,7.711546198681338,41.21199946489436,55.49704268963926
2025-01-11,1.28,128,7.711546198681338,41.21199946489436,55.49704268963926
